Date : 2026-05-21 16:46:08
Directory : c:\Users\dell\Documents\ScholarX\V2\web
Total : 80 files,  7962 codes, 6 comments, 1769 blanks, all 9737 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\[lessonId]\page.tsx                                      | TypeScript JSX |         11 |          0 |          1 |         12 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\lessons\page.tsx                                                 | TypeScript JSX |          9 |         -2 |          1 |          8 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\(platform)\courses\[slug]\page.tsx                                                         | TypeScript JSX |          5 |          0 |          1 |          6 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\admin\courses\[courseId]\page.tsx                                                          | TypeScript JSX |         79 |          0 |          3 |         82 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\admin\courses\new\page.tsx                                                                 | TypeScript JSX |         39 |          0 |          0 |         39 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[[...path]]\route-handlers.ts                                                  | TypeScript     |         70 |          0 |          5 |         75 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[[...path]]\route.test.ts                                                      | TypeScript     |         61 |          0 |          8 |         69 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\courses\[courseId]\certificate\route.ts                                                | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\v1\courses\[courseId]\enroll\application\route.ts                                      | TypeScript     |         65 |          0 |         10 |         75 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\v1\courses\[courseId]\enroll\application\status\route.ts                               | TypeScript     |         33 |          0 |          8 |         41 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\api\v1\courses\_application-route-helpers.ts                                               | TypeScript     |        110 |          0 |         18 |        128 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\signin\layout.tsx                                                                     | TypeScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\signup\layout.tsx                                                                     | TypeScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\auth\signup\page.tsx                                                                       | TypeScript JSX |        464 |          0 |         26 |        490 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\globals.css                                                                                | PostCSS        |         14 |          1 |          3 |         18 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\app\sentry-test\page.tsx                                                                       | TypeScript JSX |          1 |          0 |          1 |          2 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\course-application-form.tsx                                                 | TypeScript JSX |        838 |          0 |         68 |        906 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\course-application-status.tsx                                               | TypeScript JSX |        115 |          0 |          9 |        124 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\course-detail-sheet.tsx                                                     | TypeScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\enroll-modal.tsx                                                            | TypeScript JSX |         62 |          0 |          5 |         67 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\components\ui\sign-in-card-2.tsx                                                               | TypeScript JSX |         34 |          0 |         -4 |         30 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\db\schema\courses-db.schema.ts                                                                 | TypeScript     |         93 |          0 |          3 |         96 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\admin\contracts\admin-types.ts                                                          | TypeScript     |          2 |          0 |          0 |          2 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\admin\contracts\admin-validation.schemas.ts                                             | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\admin\infrastructure\db\admin.repository.ts                                             | TypeScript     |          6 |          0 |          0 |          6 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-application.schemas.ts                                       | TypeScript     |        123 |          0 |         16 |        139 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-completion.policy.test.ts                                    | TypeScript     |         12 |          0 |          2 |         14 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-completion.specifications.ts                                 | TypeScript     |          4 |          0 |          0 |          4 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\index.ts                                                            | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-catalog.service.test.ts                                 | TypeScript     |         17 |          0 |          4 |         21 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-catalog.service.ts                                      | TypeScript     |         11 |          0 |          3 |         14 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-enrollment.service.ts                                   | TypeScript     |        208 |          0 |         28 |        236 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\public-lesson-status.ts                                             | TypeScript     |          3 |          0 |          2 |          5 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-course-progress.repository.ts                            | TypeScript     |          8 |          0 |          0 |          8 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-courses.repository.ts                                    | TypeScript     |        131 |          0 |          9 |        140 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\instrumentation-client.ts                                                                      | TypeScript     |         -8 |          5 |         -1 |         -4 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\api\courses.service.ts                                                                     | TypeScript     |        120 |          0 |          9 |        129 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\create-enrollment-execution-context.ts                                          | TypeScript     |         33 |          0 |          3 |         36 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\enrollment-executor.ts                                                          | TypeScript     |         11 |          0 |          0 |         11 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\intent-controller.ts                                                            | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\strategies\course-application.strategy.ts                                       | TypeScript     |         72 |          0 |          5 |         77 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\strategies\enrollment-strategies.test.ts                                        | TypeScript     |         49 |          0 |          3 |         52 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\types.ts                                                                        | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\lib\routes.ts                                                                                  | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\types\course.ts                                                                                | TypeScript     |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\ScholarX\V2\web\src\types\course.types.ts                                                                          | TypeScript     |          1 |          0 |          0 |          1 |
| Total                                                                                                                                      |                |      7,962 |          6 |      1,769 |      9,737 |
+--------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
